requirement_id,level,chapter,section,requirement,applicable,status,evidence,review_notes
V1.2.9,2,V1 Encoding and Sanitization,V1.2 Injection Prevention,Verify that the application escapes special characters in regular expressions (typically using a backslash) to prevent them from being misinterpreted as metacharacters.,Yes,Verified,app/ schemas and SQLAlchemy queries; app/services/account_email.py; ui/plan.js; ui/operations.js; tests/test_security_hardening.py,Implementation and regression evidence reviewed on 2026-09-17.
V1.3.1,1,V1 Encoding and Sanitization,V1.3 Sanitization,Verify that all untrusted HTML input from WYSIWYG editors or similar is sanitized using a well-known and secure HTML sanitization library or framework feature.,No,Not applicable,app/ schemas and SQLAlchemy queries; app/services/account_email.py; ui/plan.js; ui/operations.js; tests/test_security_hardening.py,"The application accepts no WYSIWYG HTML, user SVG, Markdown, CSS, XSL, or other scriptable document input."
V1.3.2,1,V1 Encoding and Sanitization,V1.3 Sanitization,"Verify that the application avoids the use of eval() or other dynamic code execution features such as Spring Expression Language (SpEL). Where there is no alternative, any user input being included must be sanitized before being executed.",Yes,Verified,app/ schemas and SQLAlchemy queries; app/services/account_email.py; ui/plan.js; ui/operations.js; tests/test_security_hardening.py,Implementation and regression evidence reviewed on 2026-09-17.
V1.3.3,2,V1 Encoding and Sanitization,V1.3 Sanitization,"Verify that data being passed to a potentially dangerous context is sanitized beforehand to enforce safety measures, such as only allowing characters which are safe for this context and trimming input which is too long.",Yes,Verified,app/ schemas and SQLAlchemy queries; app/services/account_email.py; ui/plan.js; ui/operations.js; tests/test_security_hardening.py,Implementation and regression evidence reviewed on 2026-09-17.
V1.3.4,2,V1 Encoding and Sanitization,V1.3 Sanitization,"Verify that user-supplied Scalable Vector Graphics (SVG) scriptable content is validated or sanitized to contain only tags and attributes (such as draw graphics) that are safe for the application, e.g., do not contain scripts and foreignObject.",No,Not applicable,app/ schemas and SQLAlchemy queries; app/services/account_email.py; ui/plan.js; ui/operations.js; tests/test_security_hardening.py,"The application accepts no WYSIWYG HTML, user SVG, Markdown, CSS, XSL, or other scriptable document input."
V1.3.5,2,V1 Encoding and Sanitization,V1.3 Sanitization,"Verify that the application sanitizes or disables user-supplied scriptable or expression template language content, such as Markdown, CSS or XSL stylesheets, BBCode, or similar.",No,Not applicable,app/ schemas and SQLAlchemy queries; app/services/account_email.py; ui/plan.js; ui/operations.js; tests/test_security_hardening.py,"The application accepts no WYSIWYG HTML, user SVG, Markdown, CSS, XSL, or other scriptable document input."
V1.3.6,2,V1 Encoding and Sanitization,V1.3 Sanitization,"Verify that the application protects against Server-side Request Forgery (SSRF) attacks, by validating untrusted data against an allowlist of protocols, domains, paths and ports and sanitizing potentially dangerous characters before using the data to call another service.",Yes,Verified,app/ schemas and SQLAlchemy queries; app/services/account_email.py; ui/plan.js; ui/operations.js; tests/test_security_hardening.py,Implementation and regression evidence reviewed on 2026-09-17.
V1.3.7,2,V1 Encoding and Sanitization,V1.3 Sanitization,"Verify that the application protects against template injection attacks by not allowing templates to be built based on untrusted input. Where there is no alternative, any untrusted input being included dynamically during template creation must be sanitized or strictly validated.",Yes,Verified,app/ schemas and SQLAlchemy queries; app/services/account_email.py; ui/plan.js; ui/operations.js; tests/test_security_hardening.py,Implementation and regression evidence reviewed on 2026-09-17.
V1.3.8,2,V1 Encoding and Sanitization,V1.3 Sanitization,Verify that the application appropriately sanitizes untrusted input before use in Java Naming and Directory Interface (JNDI) queries and that JNDI is configured securely to prevent JNDI injection attacks.,No,Not applicable,app/ schemas and SQLAlchemy queries; app/services/account_email.py; ui/plan.js; ui/operations.js; tests/test_security_hardening.py,The Python application uses neither JNDI nor memcache.
V1.3.9,2,V1 Encoding and Sanitization,V1.3 Sanitization,Verify that the application sanitizes content before it is sent to memcache to prevent injection attacks.,No,Not applicable,app/ schemas and SQLAlchemy queries; app/services/account_email.py; ui/plan.js; ui/operations.js; tests/test_security_hardening.py,The Python application uses neither JNDI nor memcache.
V1.3.10,2,V1 Encoding and Sanitization,V1.3 Sanitization,Verify that format strings which might resolve in an unexpected or malicious way when used are sanitized before being processed.,Yes,Verified,app/ schemas and SQLAlchemy queries; app/services/account_email.py; ui/plan.js; ui/operations.js; tests/test_security_hardening.py,Implementation and regression evidence reviewed on 2026-09-17.
V1.3.11,2,V1 Encoding and Sanitization,V1.3 Sanitization,Verify that the application sanitizes user input before passing to mail systems to protect against SMTP or IMAP injection.,Yes,Verified,app/ schemas and SQLAlchemy queries; app/services/account_email.py; ui/plan.js; ui/operations.js; tests/test_security_hardening.py,Implementation and regression evidence reviewed on 2026-09-17.
V1.4.1,2,V1 Encoding and Sanitization,"V1.4 Memory, String, and Unmanaged Code","Verify that the application uses memory-safe string, safer memory copy and pointer arithmetic to detect or prevent stack, buffer, or heap overflows.",No,Not applicable,app/ schemas and SQLAlchemy queries; app/services/account_email.py; ui/plan.js; ui/operations.js; tests/test_security_hardening.py,Python's managed runtime provides memory safety and arbitrary-precision integers for application code.
V1.4.2,2,V1 Encoding and Sanitization,"V1.4 Memory, String, and Unmanaged Code","Verify that sign, range, and input validation techniques are used to prevent integer overflows.",No,Not applicable,app/ schemas and SQLAlchemy queries; app/services/account_email.py; ui/plan.js; ui/operations.js; tests/test_security_hardening.py,Python's managed runtime provides memory safety and arbitrary-precision integers for application code.
V1.4.3,2,V1 Encoding and Sanitization,"V1.4 Memory, String, and Unmanaged Code","Verify that dynamically allocated memory and resources are released, and that references or pointers to freed memory are removed or set to null to prevent dangling pointers and use-after-free vulnerabilities.",No,Not applicable,app/ schemas and SQLAlchemy queries; app/services/account_email.py; ui/plan.js; ui/operations.js; tests/test_security_hardening.py,Python's managed runtime provides memory safety and arbitrary-precision integers for application code.
V1.5.1,1,V1 Encoding and Sanitization,V1.5 Safe Deserialization,Verify that the application configures XML parsers to use a restrictive configuration and that unsafe features such as resolving external entities are disabled to prevent XML eXternal Entity (XXE) attacks.,No,Not applicable,app/ schemas and SQLAlchemy queries; app/services/account_email.py; ui/plan.js; ui/operations.js; tests/test_security_hardening.py,The application does not parse untrusted XML.
V1.5.2,2,V1 Encoding and Sanitization,V1.5 Safe Deserialization,"Verify that deserialization of untrusted data enforces safe input handling, such as using an allowlist of object types or restricting client-defined object types, to prevent deserialization attacks. Deserialization mechanisms that are explicitly defined as insecure must not be used with untrusted input.",Yes,Verified,app/ schemas and SQLAlchemy queries; app/services/account_email.py; ui/plan.js; ui/operations.js; tests/test_security_hardening.py,Implementation and regression evidence reviewed on 2026-09-17.
V2.1.1,1,V2 Validation and Business Logic,V2.1 Validation and Business Logic Documentation,"Verify that the application's documentation defines input validation rules for how to check the validity of data items against an expected structure. This could be common data formats such as credit card numbers, email addresses, telephone numbers, or it could be an internal data format.",Yes,Verified,docs/SECURITY_BASELINE.md; Pydantic request schemas; app/routers/plans.py; app/routers/llm_recommend.py; tests/,Implementation and regression evidence reviewed on 2026-09-17.
V2.1.2,2,V2 Validation and Business Logic,V2.1 Validation and Business Logic Documentation,"Verify that the application's documentation defines how to validate the logical and contextual consistency of combined data items, such as checking that suburb and ZIP code match.",Yes,Verified,docs/SECURITY_BASELINE.md; Pydantic request schemas; app/routers/plans.py; app/routers/llm_recommend.py; tests/,Implementation and regression evidence reviewed on 2026-09-17.
V2.1.3,2,V2 Validation and Business Logic,V2.1 Validation and Business Logic Documentation,"Verify that expectations for business logic limits and validations are documented, including both per-user and globally across the application.",Yes,Verified,docs/SECURITY_BASELINE.md; Pydantic request schemas; app/routers/plans.py; app/routers/llm_recommend.py; tests/,Implementation and regression evidence reviewed on 2026-09-17.
V2.2.1,1,V2 Validation and Business Logic,V2.2 Input Validation,"Verify that input is validated to enforce business or functional expectations for that input. This should either use positive validation against an allow list of values, patterns, and ranges, or be based on comparing the input to an expected structure and logical limits according to predefined rules. For L1, this can focus on input which is used to make specific business or security decisions. For L2 and up, this should apply to all input.",Yes,Verified,docs/SECURITY_BASELINE.md; Pydantic request schemas; app/routers/plans.py; app/routers/llm_recommend.py; tests/,Implementation and regression evidence reviewed on 2026-09-17.
V2.2.2,1,V2 Validation and Business Logic,V2.2 Input Validation,"Verify that the application is designed to enforce input validation at a trusted service layer. While client-side validation improves usability and should be encouraged, it must not be relied upon as a security control.",Yes,Verified,docs/SECURITY_BASELINE.md; Pydantic request schemas; app/routers/plans.py; app/routers/llm_recommend.py; tests/,Implementation and regression evidence reviewed on 2026-09-17.
V2.2.3,2,V2 Validation and Business Logic,V2.2 Input Validation,Verify that the application ensures that combinations of related data items are reasonable according to the pre-defined rules.,Yes,Verified,docs/SECURITY_BASELINE.md; Pydantic request schemas; app/routers/plans.py; app/routers/llm_recommend.py; tests/,Implementation and regression evidence reviewed on 2026-09-17.
V2.3.1,1,V2 Validation and Business Logic,V2.3 Business Logic Security,Verify that the application will only process business logic flows for the same user in the expected sequential step order and without skipping steps.,Yes,Verified,docs/SECURITY_BASELINE.md; Pydantic request schemas; app/routers/plans.py; app/routers/llm_recommend.py; tests/,Implementation and regression evidence reviewed on 2026-09-17.
V2.3.2,2,V2 Validation and Business Logic,V2.3 Business Logic Security,Verify that business logic limits are implemented per the application's documentation to avoid business logic flaws being exploited.,Yes,Verified,docs/SECURITY_BASELINE.md; Pydantic request schemas; app/routers/plans.py; app/routers/llm_recommend.py; tests/,Implementation and regression evidence reviewed on 2026-09-17.
V2.3.3,2,V2 Validation and Business Logic,V2.3 Business Logic Security,Verify that transactions are being used at the business logic level such that either a business logic operation succeeds in its entirety or it is rolled back to the previous correct state.,Yes,Verified,docs/SECURITY_BASELINE.md; Pydantic request schemas; app/routers/plans.py; app/routers/llm_recommend.py; tests/,Implementation and regression evidence reviewed on 2026-09-17.
V2.3.4,2,V2 Validation and Business Logic,V2.3 Business Logic Security,Verify that business logic level locking mechanisms are used to ensure that limited quantity resources (such as theater seats or delivery slots) cannot be double-booked by manipulating the application's logic.,No,Not applicable,docs/SECURITY_BASELINE.md; Pydantic request schemas; app/routers/plans.py; app/routers/llm_recommend.py; tests/,Glycofy does not allocate scarce inventory or other limited-quantity resources.
V2.4.1,2,V2 Validation and Business Logic,V2.4 Anti-automation,"Verify that anti-automation controls are in place to protect against excessive calls to application functions that could lead to data exfiltration, garbage-data creation, quota exhaustion, rate-limit breaches, denial-of-service, or overuse of costly resources.",Yes,Verified,docs/SECURITY_BASELINE.md; Pydantic request schemas; app/routers/plans.py; app/routers/llm_recommend.py; tests/,Implementation and regression evidence reviewed on 2026-09-17.
V3.2.1,1,V3 Web Frontend Security,V3.2 Unintended Content Interpretation,"Verify that security controls are in place to prevent browsers from rendering content or functionality in HTTP responses in an incorrect context (e.g., when an API, a user-uploaded file or other resource is requested directly). Possible controls could include: not serving the content unless HTTP request header fields (such as Sec-Fetch-\*) indicate it is the correct context, using the sandbox directive of the Content-Security-Policy header field or using the attachment disposition type in the Content-Disposition header field.",Yes,Verified,app/main.py security headers and origin checks; __Host- cookies in auth_utils.py; safe DOM rendering in ui/; tests/test_security_hardening.py,Implementation and regression evidence reviewed on 2026-09-17.
V3.2.2,1,V3 Web Frontend Security,V3.2 Unintended Content Interpretation,"Verify that content intended to be displayed as text, rather than rendered as HTML, is handled using safe rendering functions (such as createTextNode or textContent) to prevent unintended execution of content such as HTML or JavaScript.",Yes,Verified,app/main.py security headers and origin checks; __Host- cookies in auth_utils.py; safe DOM rendering in ui/; tests/test_security_hardening.py,Implementation and regression evidence reviewed on 2026-09-17.
V3.3.1,1,V3 Web Frontend Security,V3.3 Cookie Setup,"Verify that cookies have the 'Secure' attribute set, and if the '\__Host-' prefix is not used for the cookie name, the '__Secure-' prefix must be used for the cookie name.",Yes,Verified,app/main.py security headers and origin checks; __Host- cookies in auth_utils.py; safe DOM rendering in ui/; tests/test_security_hardening.py,Implementation and regression evidence reviewed on 2026-09-17.
V3.3.2,2,V3 Web Frontend Security,V3.3 Cookie Setup,"Verify that each cookie's 'SameSite' attribute value is set according to the purpose of the cookie, to limit exposure to user interface redress attacks and browser-based request forgery attacks, commonly known as cross-site request forgery (CSRF).",Yes,Verified,app/main.py security headers and origin checks; __Host- cookies in auth_utils.py; safe DOM rendering in ui/; tests/test_security_hardening.py,Implementation and regression evidence reviewed on 2026-09-17.
V3.3.3,2,V3 Web Frontend Security,V3.3 Cookie Setup,Verify that cookies have the '__Host-' prefix for the cookie name unless they are explicitly designed to be shared with other hosts.,Yes,Verified,app/main.py security headers and origin checks; __Host- cookies in auth_utils.py; safe DOM rendering in ui/; tests/test_security_hardening.py,Implementation and regression evidence reviewed on 2026-09-17.
V3.3.4,2,V3 Web Frontend Security,V3.3 Cookie Setup,"Verify that if the value of a cookie is not meant to be accessible to client-side scripts (such as a session token), the cookie must have the 'HttpOnly' attribute set and the same value (e. g. session token) must only be transferred to the client via the 'Set-Cookie' header field.",Yes,Verified,app/main.py security headers and origin checks; __Host- cookies in auth_utils.py; safe DOM rendering in ui/; tests/test_security_hardening.py,Implementation and regression evidence reviewed on 2026-09-17.
V3.4.1,1,V3 Web Frontend Security,V3.4 Browser Security Mechanism Headers,"Verify that a Strict-Transport-Security header field is included on all responses to enforce an HTTP Strict Transport Security (HSTS) policy. A maximum age of at least 1 year must be defined, and for L2 and up, the policy must apply to all subdomains as well.",Yes,Verified,app/main.py security headers and origin checks; __Host- cookies in auth_utils.py; safe DOM rendering in ui/; tests/test_security_hardening.py,Implementation and regression evidence reviewed on 2026-09-17.
V3.4.2,1,V3 Web Frontend Security,V3.4 Browser Security Mechanism Headers,"Verify that the Cross-Origin Resource Sharing (CORS) Access-Control-Allow-Origin header field is a fixed value by the application, or if the Origin HTTP request header field value is used, it is validated against an allowlist of trusted origins. When 'Access-Control-Allow-Origin: *' needs to be used, verify that the response does not include any sensitive information.",Yes,Verified,app/main.py security headers and origin checks; __Host- cookies in auth_utils.py; safe DOM rendering in ui/; tests/test_security_hardening.py,Implementation and regression evidence reviewed on 2026-09-17.
V3.4.3,2,V3 Web Frontend Security,V3.4 Browser Security Mechanism Headers,"Verify that HTTP responses include a Content-Security-Policy response header field which defines directives to ensure the browser only loads and executes trusted content or resources, in order to limit execution of malicious JavaScript. As a minimum, a global policy must be used which includes the directives object-src 'none' and base-uri 'none' and defines either an allowlist or uses nonces or hashes. For an L3 application, a per-response policy with nonces or hashes must be defined.",Yes,Verified,app/main.py security headers and origin checks; __Host- cookies in auth_utils.py; safe DOM rendering in ui/; tests/test_security_hardening.py,Implementation and regression evidence reviewed on 2026-09-17.
V3.4.4,2,V3 Web Frontend Security,V3.4 Browser Security Mechanism Headers,"Verify that all HTTP responses contain an 'X-Content-Type-Options: nosniff' header field. This instructs browsers not to use content sniffing and MIME type guessing for the given response, and to require the response's Content-Type header field value to match the destination resource. For example, the response to a request for a style is only accepted if the response's Content-Type is 'text/css'. This also enables the use of the Cross-Origin Read Blocking (CORB) functionality by the browser.",Yes,Verified,app/main.py security headers and origin checks; __Host- cookies in auth_utils.py; safe DOM rendering in ui/; tests/test_security_hardening.py,Implementation and regression evidence reviewed on 2026-09-17.
V3.4.5,2,V3 Web Frontend Security,V3.4 Browser Security Mechanism Headers,"Verify that the application sets a referrer policy to prevent leakage of technically sensitive data to third-party services via the 'Referer' HTTP request header field. This can be done using the Referrer-Policy HTTP response header field or via HTML element attributes. Sensitive data could include path and query data in the URL, and for internal non-public applications also the hostname.",Yes,Verified,app/main.py security headers and origin checks; __Host- cookies in auth_utils.py; safe DOM rendering in ui/; tests/test_security_hardening.py,Implementation and regression evidence reviewed on 2026-09-17.
V3.4.6,2,V3 Web Frontend Security,V3.4 Browser Security Mechanism Headers,"Verify that the web application uses the frame-ancestors directive of the Content-Security-Policy header field for every HTTP response to ensure that it cannot be embedded by default and that embedding of specific resources is allowed only when necessary. Note that the X-Frame-Options header field, although supported by browsers, is obsolete and may not be relied upon.",Yes,Verified,app/main.py security headers and origin checks; __Host- cookies in auth_utils.py; safe DOM rendering in ui/; tests/test_security_hardening.py,Implementation and regression evidence reviewed on 2026-09-17.
V3.5.1,1,V3 Web Frontend Security,V3.5 Browser Origin Separation,"Verify that, if the application does not rely on the CORS preflight mechanism to prevent disallowed cross-origin requests to use sensitive functionality, these requests are validated to ensure they originate from the application itself. This may be done by using and validating anti-forgery tokens or requiring extra HTTP header fields that are not CORS-safelisted request-header fields. This is to defend against browser-based request forgery attacks, commonly known as cross-site request forgery (CSRF).",Yes,Verified,app/main.py security headers and origin checks; __Host- cookies in auth_utils.py; safe DOM rendering in ui/; tests/test_security_hardening.py,Implementation and regression evidence reviewed on 2026-09-17.
V3.5.2,1,V3 Web Frontend Security,V3.5 Browser Origin Separation,"Verify that, if the application relies on the CORS preflight mechanism to prevent disallowed cross-origin use of sensitive functionality, it is not possible to call the functionality with a request which does not trigger a CORS-preflight request. This may require checking the values of the 'Origin' and 'Content-Type' request header fields or using an extra header field that is not a CORS-safelisted header-field.",Yes,Verified,app/main.py security headers and origin checks; __Host- cookies in auth_utils.py; safe DOM rendering in ui/; tests/test_security_hardening.py,Implementation and regression evidence reviewed on 2026-09-17.
V3.5.3,1,V3 Web Frontend Security,V3.5 Browser Origin Separation,"Verify that HTTP requests to sensitive functionality use appropriate HTTP methods such as POST, PUT, PATCH, or DELETE, and not methods defined by the HTTP specification as ""safe"" such as HEAD, OPTIONS, or GET. Alternatively, strict validation of the Sec-Fetch-* request header fields can be used to ensure that the request did not originate from an inappropriate cross-origin call, a navigation request, or a resource load (such as an image source) where this is not expected.",Yes,Verified,app/main.py security headers and origin checks; __Host- cookies in auth_utils.py; safe DOM rendering in ui/; tests/test_security_hardening.py,Implementation and regression evidence reviewed on 2026-09-17.
V3.5.4,2,V3 Web Frontend Security,V3.5 Browser Origin Separation,"Verify that separate applications are hosted on different hostnames to leverage the restrictions provided by same-origin policy, including how documents or scripts loaded by one origin can interact with resources from another origin and hostname-based restrictions on cookies.",No,Not applicable,app/main.py security headers and origin checks; __Host- cookies in auth_utils.py; safe DOM rendering in ui/; tests/test_security_hardening.py,All browser-facing Glycofy functionality is one application and one trust boundary on app.glycofy.ai.
V3.5.5,2,V3 Web Frontend Security,V3.5 Browser Origin Separation,"Verify that messages received by the postMessage interface are discarded if the origin of the message is not trusted, or if the syntax of the message is invalid.",No,Not applicable,app/main.py security headers and origin checks; __Host- cookies in auth_utils.py; safe DOM rendering in ui/; tests/test_security_hardening.py,The frontend does not use postMessage.
V3.7.1,2,V3 Web Frontend Security,V3.7 Other Browser Security Considerations,"Verify that the application only uses client-side technologies which are still supported and considered secure. Examples of technologies which do not meet this requirement include NSAPI plugins, Flash, Shockwave, ActiveX, Silverlight, NACL, or client-side Java applets.",Yes,Verified,app/main.py security headers and origin checks; __Host- cookies in auth_utils.py; safe DOM rendering in ui/; tests/test_security_hardening.py,Implementation and regression evidence reviewed on 2026-09-17.
V3.7.2,2,V3 Web Frontend Security,V3.7 Other Browser Security Considerations,Verify that the application will only automatically redirect the user to a different hostname or domain (which is not controlled by the application) where the destination appears on an allowlist.,Yes,Verified,app/main.py security headers and origin checks; __Host- cookies in auth_utils.py; safe DOM rendering in ui/; tests/test_security_hardening.py,Implementation and regression evidence reviewed on 2026-09-17.
V4.1.1,1,V4 API and Web Service,V4.1 Generic Web Service Security,"Verify that every HTTP response with a message body contains a Content-Type header field that matches the actual content of the response, including the charset parameter to specify safe character encoding (e.g., UTF-8, ISO-8859-1) according to IANA Media Types, such as ""text/"", ""/+xml"" and ""/xml"".",Yes,Verified,FastAPI/Starlette request parsing; app/main.py trusted edge middleware; Render and Cloudflare managed HTTP stack,Implementation and regression evidence reviewed on 2026-09-17.
V4.1.2,2,V4 API and Web Service,V4.1 Generic Web Service Security,"Verify that only user-facing endpoints (intended for manual web-browser access) automatically redirect from HTTP to HTTPS, while other services or endpoints do not implement transparent redirects. This is to avoid a situation where a client is erroneously sending unencrypted HTTP requests, but since the requests are being automatically redirected to HTTPS, the leakage of sensitive data goes undiscovered.",Yes,Verified,FastAPI/Starlette request parsing; app/main.py trusted edge middleware; Render and Cloudflare managed HTTP stack,Implementation and regression evidence reviewed on 2026-09-17.
V4.1.3,2,V4 API and Web Service,V4.1 Generic Web Service Security,"Verify that any HTTP header field used by the application and set by an intermediary layer, such as a load balancer, a web proxy, or a backend-for-frontend service, cannot be overridden by the end-user. Example headers might include X-Real-IP, X-Forwarded-*, or X-User-ID.",Yes,Verified,FastAPI/Starlette request parsing; app/main.py trusted edge middleware; Render and Cloudflare managed HTTP stack,Implementation and regression evidence reviewed on 2026-09-17.
V4.2.1,2,V4 API and Web Service,V4.2 HTTP Message Structure Validation,"Verify that all application components (including load balancers, firewalls, and application servers) determine boundaries of incoming HTTP messages using the appropriate mechanism for the HTTP version to prevent HTTP request smuggling. In HTTP/1.x, if a Transfer-Encoding header field is present, the Content-Length header must be ignored per RFC 2616. When using HTTP/2 or HTTP/3, if a Content-Length header field is present, the receiver must ensure that it is consistent with the length of the DATA frames.",Yes,Inherited,FastAPI/Starlette request parsing; app/main.py trusted edge middleware; Render and Cloudflare managed HTTP stack,"HTTP message framing and request-smuggling defenses are inherited from Cloudflare, Render, and Uvicorn/Starlette."
V4.3.1,2,V4 API and Web Service,V4.3 GraphQL,"Verify that a query allowlist, depth limiting, amount limiting, or query cost analysis is used to prevent GraphQL or data layer expression Denial of Service (DoS) as a result of expensive, nested queries.",No,Not applicable,FastAPI/Starlette request parsing; app/main.py trusted edge middleware; Render and Cloudflare managed HTTP stack,Glycofy exposes no GraphQL API.
V4.3.2,2,V4 API and Web Service,V4.3 GraphQL,Verify that GraphQL introspection queries are disabled in the production environment unless the GraphQL API is meant to be used by other parties.,No,Not applicable,FastAPI/Starlette request parsing; app/main.py trusted edge middleware; Render and Cloudflare managed HTTP stack,Glycofy exposes no GraphQL API.
V4.4.1,1,V4 API and Web Service,V4.4 WebSocket,Verify that WebSocket over TLS (WSS) is used for all WebSocket connections.,No,Not applicable,FastAPI/Starlette request parsing; app/main.py trusted edge middleware; Render and Cloudflare managed HTTP stack,Glycofy exposes no WebSocket endpoints.
V4.4.2,2,V4 API and Web Service,V4.4 WebSocket,"Verify that, during the initial HTTP WebSocket handshake, the Origin header field is checked against a list of origins allowed for the application.",No,Not applicable,FastAPI/Starlette request parsing; app/main.py trusted edge middleware; Render and Cloudflare managed HTTP stack,Glycofy exposes no WebSocket endpoints.
V4.4.3,2,V4 API and Web Service,V4.4 WebSocket,"Verify that, if the application's standard session management cannot be used, dedicated tokens are being used for this, which comply with the relevant Session Management security requirements.",No,Not applicable,FastAPI/Starlette request parsing; app/main.py trusted edge middleware; Render and Cloudflare managed HTTP stack,Glycofy exposes no WebSocket endpoints.
V4.4.4,2,V4 API and Web Service,V4.4 WebSocket,Verify that dedicated WebSocket session management tokens are initially obtained or validated through the previously authenticated HTTPS session when transitioning an existing HTTPS session to a WebSocket channel.,No,Not applicable,FastAPI/Starlette request parsing; app/main.py trusted edge middleware; Render and Cloudflare managed HTTP stack,Glycofy exposes no WebSocket endpoints.
V5.1.1,2,V5 File Handling,V5.1 File Handling Documentation,"Verify that the documentation defines the permitted file types, expected file extensions, and maximum size (including unpacked size) for each upload feature. Additionally, ensure that the documentation specifies how files are made safe for end-users to download and process, such as how the application behaves when a malicious file is detected.",Yes,Verified,TrainingPeaks CSV import size/type/schema validation in app/routers/activities.py; generated download names in ui/,Implementation and regression evidence reviewed on 2026-09-17.
V5.2.1,1,V5 File Handling,V5.2 File Upload and Content,Verify that the application will only accept files of a size which it can process without causing a loss of performance or a denial of service attack.,Yes,Verified,TrainingPeaks CSV import size/type/schema validation in app/routers/activities.py; generated download names in ui/,Implementation and regression evidence reviewed on 2026-09-17.
